INDICATOR,COUNTRY,FREQUENCY,LATEST_ACTUAL_ANNUAL_DATA,OVERLAP,SCALE,METHODOLOGY,METHODOLOGY_NOTES,TIME_PERIOD,value
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1980,31.268
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1981,35.079
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1982,38.064
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1983,40.043
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1984,41.824
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1985,43.982
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1986,45.577
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1987,47.43
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1988,49.618
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1989,52.206
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1990,55.86
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1991,60.06
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1992,62.602
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1993,64.188
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1994,65.467
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1995,67.189
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1996,68.819
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1997,70.074
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1998,71.166
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",1999,72.111
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2000,72.685
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2001,73.582
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2002,74.508
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2003,75.523
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2004,76.538
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2005,78.112
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2006,79.931
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2007,81.788
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2008,84.733
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2009,86.568
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2010,89.423
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2011,93.415
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2012,96.057
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2013,98.521
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2014,99.96
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2015,100.0
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2016,100.66
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2017,103.361
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2018,105.922
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2019,107.819
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2020,108.736
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2021,111.551
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2022,121.665
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2023,130.55
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2024,133.853
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2025,138.037
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2026,141.14
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2027,143.963
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2028,146.842
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2029,149.779
PCPI,GBR,A,2024,OL,0,CPI,"Source: National Statistics Office. For data prior to 1988, the source is the WEO - World Economic Outlook. Latest actual data: 2024. Our PCPIE (end-period CPI data) is for December each year; latest data is 2024Q4 Notes: Data prior to 1988 cannot be confirmed by national sources at this time. Harmonized prices: Yes Base year: 2015 Primary domestic currency: British pound Data last updated: 04/10/2025",2030,152.775
